"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60."
2008,"Adjumani",1528,2570,4338,1768,5215,337,1532,2549,4373,1824,"4173",218
2009,"Rhino Camp ",114,230,412,182,247,17,92,252,452,200,"151",15
2009,"Palorinya",216,272,471,199,554,30,243,321,494,173,"409",15
2009,"Oruchinga",192,245,387,142,421,25,182,229,369,140,"429",27
2009,"Nakivale",5240,5827,8839,3012,11146,433,5252,5737,8953,3216,"11938",448
2009,"Madi-Okollo",51,79,139,60,183,16,42,92,174,82,"175",7
2009,"Kyangwali",1909,2387,3817,1430,4424,249,1891,2407,3845,1438,"4262",209
2009,"Kiryandongo",297,489,870,381,1041,92,279,468,877,409,"941",76
2009,"Kyaka II",1843,2139,3318,1179,3494,264,1766,2024,3307,1283,"3156",294
2009,"Adjumani",0,0,0,0,0,0,0,0,0,0,"0",0
2009,"Pakelle",761,1043,1698,655,1977,104,776,1035,1709,674,"1416",56
2009,"Pader",0,0,0,0,0,0,0,0,0,0,"0",0
2009,"Masindi",0,0,0,0,0,0,0,0,0,0,"0",0
2009,"Kitgum",0,0,0,0,0,0,0,0,0,0,"0",0
2009,"Katakwi",0,0,0,0,0,0,0,0,0,0,"0",0
2009,"Kampala",1105,2057,4088,2031,6666,189,1158,2045,4035,1990,"9575",178
2009,"Imvepi",129,245,465,220,268,17,156,304,599,295,"247",3
2009,"Gulu",0,0,0,0,0,0,0,0,0,0,"0",0
2009,"Amuru",0,0,0,0,0,0,0,0,0,0,"0",0
2009,"Amuria",0,0,0,0,0,0,0,0,0,0,"0",0
2010,"Dispersed",0,0,NA,0,0,0,0,0,NA,0,"0",0
2010,"Rhino Camp   ",87,186,NA,156,318,25,78,170,NA,184,"238",17
2010,"Palorinya  ",145,216,NA,191,468,33,158,248,NA,162,"375",15
2010,"Pader  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2010,"Oruchinga  ",163,171,NA,102,273,18,124,173,NA,105,"288",26
2010,"Nakivale  ",5935,6460,NA,3403,12369,536,5986,6391,NA,3590,"13364",521
2010,"Masindi  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2010,"Kyangwali  ",2370,2607,NA,1488,4650,271,2409,2609,NA,1525,"4526",213
2010,"Kitgum  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2010,"Kiryandongo  ",293,494,NA,352,1027,94,292,480,NA,396,"895",76
2010,"Kyaka II  ",1850,2234,NA,1297,3850,313,1743,2186,NA,1397,"3530",320
2010,"Katakwi  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2010,"Kampala  ",1452,2830,NA,2846,9599,303,1507,2845,NA,2820,"13350",268
2010,"Imvepi  ",124,215,NA,174,376,29,146,243,NA,232,"395",6
2010,"Gulu  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2010,"Amuru  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2010,"Amuria  ",0,0,NA,0,0,0,0,0,NA,0,"0",0
2010,"Adjumani  ",555,907,NA,625,1805,107,545,937,NA,657,"1396",56
2011,"Dispersed",0,0,NA,0,0,0,0,0,NA,0,"0",0
2011,"Rhino Camp   ",83,157,NA,162,330,28,77,150,NA,174,"263",17
