"Year","Received_Refugees","Returned_Refugees"
2018,0,0
2018,0,0
2018,14024,0
2018,2802,0
2018,11,0
2018,18764,0
2018,788848,0
2018,0,0
2018,7,0
2018,8,0
2018,8,0
2018,20,0
2018,0,0
