"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60."
2011,"Kyaka II  ",1494,1846,0,1213,3405,282,1458,1806,0,1283,3124,311
2011,"Kampala  ",1945,4412,0,5851,6544,205,2029,4541,0,7472,9320,181
2011,"Imvepi  ",112,196,0,183,388,28,142,213,0,238,427,6
2011,"Adjumani  ",492,873,0,606,1578,111,509,888,0,626,1097,46
2012,"Rwamanja",4122,3543,0,3379,3579,117,4081,3609,0,3406,3859,102
2012,"Rhino Camp   ",340,579,0,422,812,79,341,592,0,553,515,33
2012,"Oruchinga  ",536,730,0,379,1248,67,582,680,0,406,1089,72
2012,"Nakivale  ",5530,7713,0,4901,13228,603,5554,7750,0,5034,13423,637
2012,"Kyangwali  ",2302,3935,0,4217,304,2,2393,3976,0,3883,267,1
2012,"Kiryandongo  ",238,414,0,317,838,80,239,430,0,345,687,64
2012,"Kyaka II  ",1964,2166,0,1402,3385,276,1954,2150,0,1453,3041,264
2012,"Kampala  ",3205,9220,0,13634,5213,169,3310,9483,0,17456,7642,144
2012,"Adjumani  ",712,1210,0,873,2025,145,723,1299,0,880,1351,61
2013,"Rwamanja  ",7223,6594,0,7894,3353,98,7153,6915,0,8125,3595,91
2013,"Rhino Camp   ",888,1337,0,784,1838,169,879,1413,0,990,1183,75
2013,"Oruchinga  ",627,962,0,1017,110,4,613,925,0,862,93,2
2013,"Nakivale  ",6229,10744,0,11170,1846,44,6295,10702,0,10975,1935,31
2013,"Kyangwali  ",4080,4686,0,4720,4094,237,4002,4970,0,5075,3305,188
2013,"Kiryandongo  ",279,493,0,389,1043,96,300,493,0,419,862,78
2013,"Kyaka II  ",2336,2644,0,1895,3809,330,2341,2689,0,1896,3507,295
2013,"Kampala  ",2805,3847,0,4184,8930,586,2815,3890,0,3880,11917,525
2013,"Adjumani  ",989,1808,0,1226,3117,225,999,2021,0,1464,2121,90
2014,"Adjumani  ",7799,13588,0,8304,20369,2098,8237,14136,0,8967,12796,886
2014,"Kampala  ",3297,6482,0,6520,16894,450,3580,6569,0,7040,20799,388
2014,"Kiryandongo  ",2990,4425,0,3211,6785,501,3157,4529,0,3601,5199,239
2014,"Koboko",433,806,0,362,868,74,434,857,0,388,478,40
2014,"Kyaka II",2689,2962,0,2358,3356,181,2651,2994,0,2286,3124,167
2014,"Kyangwali  ",4169,4956,0,3080,7693,535,4106,5081,0,3112,7262,486
2014,"Nakivale  ",6574,8714,0,5799,14366,667,6514,8886,0,5823,14297,650
2014,"Oruchinga  ",564,675,0,362,1055,69,549,640,0,346,913,63
2014,"Rhino Camp   ",1630,2698,0,1872,3170,233,1763,2844,0,2344,2188,80
2014,"Rwamanja  ",6417,6223,0,3344,9673,393,6271,6230,0,3535,10367,363
2015,"Kampala  ",3221,6282,0,5835,19112,542,4063,6329,0,5476,22690,494
2015,"Kiryandongo  ",2901,6288,0,4444,9343,711,3146,6591,0,5026,7566,299
2015,"Kyaka II",2053,3037,0,2101,5957,435,2024,3068,0,2040,5969,428
2015,"Kyangwali  ",3464,5205,0,2950,8722,702,3407,5354,0,3054,8292,637
2015,"Nakivale  ",6429,10747,0,7514,22733,1158,6436,10995,0,7502,24141,1084
2015,"Oruchinga  ",526,799,0,435,1278,83,541,790,0,408,1108,83
2015,"Rwamanja  ",7461,8121,0,3611,14065,708,7283,7997,0,3843,15535,630
2015,"Adjumani  ",9962,16463,0,10387,24919,2610,10359,17397,0,11494,15493,1097
2015,"Arua",2170,4310,0,2947,5405,431,2326,4584,0,3476,3679,155
2016,"Adjumani  ",18025,28025,0,17754,37172,3941,18661,29108,0,19221,21103,1432
2016,"Arua",7282,10760,0,7956,15795,1067,7357,10775,0,8579,13106,424
2016,"Kampala  ",3495,7047,0,6462,24282,714,3604,7092,0,6237,28432,614
2016,"Kiryandongo  ",4271,7139,0,4885,9274,763,4391,7614,0,5492,6062,264
2016,"Kyaka II",2350,3662,0,2264,6420,480,2364,3709,0,2287,6190,447
2016,"Kyangwali  ",3222,6008,0,3241,9447,780,3173,6121,0,3292,9057,716
2016,"Moyo",1001,1376,0,1056,1952,181,1027,1484,0,969,1030,69
2016,"Nakivale  ",8425,13285,0,9018,27124,1387,8620,13612,0,9244,30009,1263
2016,"Oruchinga  ",692,1038,0,603,1691,103,713,1061,0,573,1484,106
2016,"Rwamanja  ",7025,7978,0,3473,12016,620,7031,7737,0,3675,10786,581
2016,"Yumbe (Bidibidi)",8563,10435,0,7421,15895,2246,8684,10467,0,7974,11576,879
2017,"Adjumani  ",16062,32956,0,22420,45280,4714,16735,34228,0,23928,28318,1808
2017,"Imvepi",10469,15768,0,9441,26522,2131,10562,16254,0,10279,24650,1008
2017,"Kampala  ",3744,8143,0,7225,29546,858,3816,8269,0,7043,34211,839
2017,"Kiryandongo  ",4360,7786,0,5794,10358,889,4554,8244,0,6400,8762,492
