Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total,Overall total
#date+year,#country+residence,#loc+name,#affected+f+children+age0_4,#affected+f+children+age5_11,#affected+f+children+age5_17,#affected+f+adolescents+age12_17,#affected+f+adults+age18_59,#affected+f+elderly+age60plus,#affected+f+other,#affected+f+total,#affected+m+children+age0_4,#affected+m+children+age5_11,#affected+m+children+age5_17,#affected+m+adolescents+age12_17,#affected+m+adults+age18_59,#affected+m+elderly+age60plus,#affected+m+other,#affected+m+total,#affected+all+total
2008,Uganda,Amuria,,,0,,,,,0,,,0,,,,,0,72000
2008,Uganda,Adjumani / Moyo,,,0,,,,,0,,,0,,,,,0,54000
2008,Uganda,Adjumani,1528,2570,4338,1768,5215,337,,15756,1532,2549,4373,1824,4173,218,,14669,21714
2009,Uganda,Rhino Camp,114,230,412,182,247,17,0,1202,92,252,452,200,151,15,0,1162,1500
2009,Uganda,Palorinya,216,272,471,199,554,30,0,1742,243,321,494,173,409,15,0,1655,2432
2009,Uganda,Oruchinga,192,245,387,142,421,25,0,1412,182,229,369,140,429,27,0,1376,2032
2009,Uganda,Nakivale,5240,5827,8839,3012,11146,433,0,34497,5252,5737,8953,3216,11938,448,0,35544,52249
2009,Uganda,Madi-Okollo,51,79,139,60,183,16,0,528,42,92,174,82,175,7,0,572,787
2009,Uganda,Kyangwali,1909,2387,3817,1430,4424,249,0,14216,1891,2407,3845,1438,4262,209,0,14052,20606
2009,Uganda,Kiryandongo,297,489,870,381,1041,92,0,3170,279,468,877,409,941,76,0,3050,4473
2009,Uganda,Kayaka II,1843,2139,3318,1179,3494,264,0,12237,1766,2024,3307,1283,3156,294,0,11830,17442
2009,Uganda,Adjumani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000
2009,Uganda,Pakelle,761,1043,1698,655,1977,104,0,6238,776,1035,1709,674,1416,56,0,5666,8497
2009,Uganda,Pader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196000
2009,Uganda,Masindi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000
2009,Uganda,Kitgum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164000
2009,Uganda,Katakwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
2009,Uganda,Kampala,1105,2057,4088,2031,6666,189,0,16136,1158,2045,4035,1990,9575,178,0,18981,26994
2009,Uganda,Imvepi,129,245,465,220,268,17,0,1344,156,304,599,295,247,3,0,1604,1884
2009,Uganda,Gulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215000
2009,Uganda,Amuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000
2009,Uganda,Amuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000
