"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","F..Unknown","F..Total","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60.","M..Unknown","M..Total"
2007,"Nakivale",3889,3610,5347,1737,6745,206,0,21534,3854,3587,5470,1883,"7444",221,0,"22459"
2007,"Madi-Okollo",705,739,1335,596,1343,104,0,4822,687,708,1455,747,"1257",62,0,"4916"
2007,"Kyangwali",1559,2349,3937,1588,4136,365,0,13934,1602,2401,4061,1660,"4210",239,0,"14173"
2007,"Kyaka II",1889,2058,3288,1230,3696,229,0,12390,1828,2019,3471,1452,"3599",229,0,"12598"
2007,"Kiryandongo",848,1320,2150,830,2536,391,0,8075,892,1338,2285,947,"2437",227,0,"8126"
2007,"Kampala",270,458,889,431,1154,30,0,3232,280,455,854,399,"1498",11,0,"3497"
2007,"Impevi",962,2407,4350,1943,4178,156,0,13996,1137,2763,5658,2895,"5543",77,0,"18073"
2007,"Ikafe",790,909,1646,737,1643,93,0,5818,827,824,1694,870,"1598",58,0,"5871"
2007,"Adjumani",3751,5600,9669,4069,12487,1049,0,36625,3770,5630,9929,4299,"11518",611,0,"35757"
2008,"Rhino Camp",406,684,1177,493,1237,71,0,4068,395,714,1294,580,"946",56,0,"3985"
2008,"Oruchinga",216,264,407,143,455,22,0,1507,195,260,400,140,"448",24,0,"1467"
2008,"Nakivale",4430,4645,6957,2312,8914,302,0,27560,4493,4506,7054,2548,"9636",327,0,"28564"
2008,"Moyo",931,1476,2390,914,2802,188,0,8701,961,1569,2499,930,"2016",108,0,"8083"
2008,"Matanda",1319,1114,1690,576,2573,142,0,7414,1338,1081,1738,657,"2315",93,0,"7222"
2008,"Madi-Okollo",72,111,190,79,219,17,0,688,75,124,225,101,"204",9,0,"738"
2008,"Kyriandongo",13,17,26,9,22,1,0,88,10,11,23,12,"20",1,0,"77"
2008,"Kyangwali",1358,1616,2619,1003,2652,181,0,9429,1374,1642,2707,1065,"2408",135,0,"9331"
2008,"Kyaka II",1660,1764,2707,943,2971,230,0,10275,1555,1649,2702,1053,"2660",265,0,"9884"
2008,"Kiryandongo",394,538,896,358,1042,93,0,3321,384,551,931,380,"976",67,0,"3289"
2008,"Kampala",900,1507,2945,1438,4327,99,0,11216,955,1434,2792,1358,"6251",108,0,"12898"
2008,"Imvepi",399,837,1462,625,1477,78,0,4878,496,942,1970,1028,"1537",34,0,"6007"
2008,"Ikafe",39,81,138,57,157,3,0,475,40,92,173,81,"220",2,0,"608"
2008,"Adjumani",1528,2570,4338,1768,5215,337,0,15756,1532,2549,4373,1824,"4173",218,0,"14669"
2009,"Rhino Camp",114,230,412,182,247,17,0,1202,92,252,452,200,"151",15,0,"1162"
2009,"Palorinya",216,272,471,199,554,30,0,1742,243,321,494,173,"409",15,0,"1655"
2009,"Oruchinga",192,245,387,142,421,25,0,1412,182,229,369,140,"429",27,0,"1376"
2009,"Nakivale",5240,5827,8839,3012,11146,433,0,34497,5252,5737,8953,3216,"11938",448,0,"35544"
2009,"Madi-Okollo",51,79,139,60,183,16,0,528,42,92,174,82,"175",7,0,"572"
2009,"Kyangwali",1909,2387,3817,1430,4424,249,0,14216,1891,2407,3845,1438,"4262",209,0,"14052"
2009,"Kiryandongo",297,489,870,381,1041,92,0,3170,279,468,877,409,"941",76,0,"3050"
2009,"Kayaka II",1843,2139,3318,1179,3494,264,0,12237,1766,2024,3307,1283,"3156",294,0,"11830"
2009,"Pakelle",761,1043,1698,655,1977,104,0,6238,776,1035,1709,674,"1416",56,0,"5666"
2009,"Kampala",1105,2057,4088,2031,6666,189,0,16136,1158,2045,4035,1990,"9575",178,0,"18981"
2009,"Imvepi",129,245,465,220,268,17,0,1344,156,304,599,295,"247",3,0,"1604"
2010,"Uganda : Dispersed in the country / territory",0,0,0,0,0,0,29,29,0,0,0,0,"0",0,30,"30"
2010,"Rhino Camp : Point",87,186,0,156,318,25,0,772,78,170,0,184,"238",17,0,"687"
2010,"Palorinya : Point",145,216,0,191,468,33,0,1053,158,248,0,162,"375",15,0,"958"
2010,"Oruchinga : Point",163,171,0,102,273,18,0,727,124,173,0,105,"288",26,0,"716"
2010,"Nakivale : Point",5935,6460,0,3403,12369,536,0,28703,5986,6391,0,3590,"13364",521,0,"29852"
2010,"Kyangwali : Point",2370,2607,0,1488,4650,271,0,11386,2409,2609,0,1525,"4526",213,0,"11282"
2010,"Kiryandongo : Point",293,494,0,352,1027,94,0,2260,292,480,0,396,"895",76,0,"2139"
2010,"Kayaka II : Point",1850,2234,0,1297,3850,313,0,9544,1743,2186,0,1397,"3530",320,0,"9176"
2010,"Kampala : District",1452,2830,0,2846,9599,303,0,17030,1507,2845,0,2820,"13350",268,0,"20790"
2010,"Imvepi : Point",124,215,0,174,376,29,0,918,146,243,0,232,"395",6,0,"1022"
2010,"Adjumani : District",555,907,0,625,1805,107,0,3999,545,937,0,657,"1396",56,0,"3591"
2011,"Rhino Camp : Point",83,157,0,162,330,28,0,760,77,150,0,174,"263",17,0,"681"
2011,"Palorinya : Point",131,201,0,148,366,26,0,872,132,187,0,142,"274",12,0,"747"
2011,"Oruchinga : Point",493,548,0,323,1089,64,0,2517,480,549,0,333,"991",62,0,"2415"
2011,"Nakivale : Point",5120,6494,0,3938,12444,530,0,28526,5196,6452,0,3986,"12843",585,0,"29062"
2011,"Kyangwali : Point",2546,2961,0,1705,5224,311,0,12747,2572,2984,0,1724,"5121",244,0,"12645"
2011,"Kiryandongo : Point",255,501,0,353,1065,103,0,2277,266,504,0,384,"941",76,0,"2171"
2011,"Kayaka II : Point",1494,1846,0,1213,3405,282,0,8240,1458,1806,0,1283,"3124",311,0,"7982"
2011,"Kampala : District",1945,4412,0,5851,6544,205,0,18957,2029,4541,0,7472,"9320",181,0,"23543"
2011,"Imvepi : Point",112,196,0,183,388,28,0,907,142,213,0,238,"427",6,0,"1026"
2011,"Adjumani : District",492,873,0,606,1578,111,0,3660,509,888,0,626,"1097",46,0,"3166"
2012,"Rwamanja",4122,3543,0,3379,3579,117,0,14740,4081,3609,0,3406,"3859",102,0,"15057"
2012,"Rhino Camp : Point",340,579,0,422,812,79,0,2232,341,592,0,553,"515",33,0,"2034"
2012,"Oruchinga : Point",536,730,0,379,1248,67,0,2960,582,680,0,406,"1089",72,0,"2829"
2012,"Nakivale : Point",5530,7713,0,4901,13228,603,0,31975,5554,7750,0,5034,"13423",637,0,"32398"
2012,"Kyangwali : Point",2302,3935,0,4217,304,2,0,10760,2393,3976,0,3883,"267",1,0,"10520"
2012,"Kiryandongo : District",238,414,0,317,838,80,0,1887,239,430,0,345,"687",64,0,"1765"
2012,"Kayaka II : Point",1964,2166,0,1402,3385,276,0,9193,1954,2150,0,1453,"3041",264,0,"8862"
2012,"Kampala : City",3205,9220,0,13634,5213,169,0,31441,3310,9483,0,17456,"7642",144,0,"38035"
2012,"Adjumani : District",712,1210,0,873,2025,145,0,4965,723,1299,0,880,"1351",61,0,"4314"
2013,"Rwamanja : Point",7223,6594,0,7894,3353,98,0,25162,7153,6915,0,8125,"3595",91,0,"25879"
2013,"Rhino Camp : Point",888,1337,0,784,1838,169,0,5016,879,1413,0,990,"1183",75,0,"4540"
2013,"Oruchinga : Point",627,962,0,1017,110,4,0,2720,613,925,0,862,"93",2,0,"2495"
2013,"Nakivale : Point",6229,10744,0,11170,1846,44,0,30033,6295,10702,0,10975,"1935",31,0,"29938"
2013,"Kyangwali : Point",4080,4686,0,4720,4094,237,0,17817,4002,4970,0,5075,"3305",188,0,"17540"
2013,"Kiryandongo : District",279,493,0,389,1043,96,0,2300,300,493,0,419,"862",78,0,"2152"
2013,"Kayaka II : Point",2336,2644,0,1895,3809,330,0,11014,2341,2689,0,1896,"3507",295,0,"10728"
2013,"Kampala : City",2805,3847,0,4184,8930,586,0,20352,2815,3890,0,3880,"11917",525,0,"23027"
2013,"Adjumani : District",989,1808,0,1226,3117,225,0,7365,999,2021,0,1464,"2121",90,0,"6695"
2014,"Adjumani : District",7799,13588,0,8304,20369,2098,0,52158,8237,14136,0,8967,"12796",886,0,"45022"
2014,"Kampala : City",3297,6482,0,6520,16894,450,0,33643,3580,6569,0,7040,"20799",388,0,"38376"
2014,"Kiryandongo : District",2990,4425,0,3211,6785,501,0,17912,3157,4529,0,3601,"5199",239,0,"16725"
2014,"Koboko",433,806,0,362,868,74,0,2543,434,857,0,388,"478",40,0,"2197"
2014,"Kyaka II",2689,2962,0,2358,3356,181,0,11546,2651,2994,0,2286,"3124",167,0,"11222"
2014,"Kyangwali : Point",4169,4956,0,3080,7693,535,0,20433,4106,5081,0,3112,"7262",486,0,"20047"
2014,"Nakivale : Point",6574,8714,0,5799,14366,667,0,36120,6514,8886,0,5823,"14297",650,0,"36170"
2014,"Oruchinga : Point",564,675,0,362,1055,69,0,2725,549,640,0,346,"913",63,0,"2511"
2014,"Rhino Camp : Point",1630,2698,0,1872,3170,233,0,9603,1763,2844,0,2344,"2188",80,0,"9219"
2014,"Rwamanja : Point",6417,6223,0,3344,9673,393,0,26050,6271,6230,0,3535,"10367",363,0,"26766"
2014,"Uganda : Dispersed in the country / territory",0,0,0,0,1,0,0,1,0,0,0,0,"0",0,0,"0"
2015,"Kampala : City",3221,6282,0,5835,19112,542,0,34992,4063,6329,0,5476,"22690",494,0,"39052"
2015,"Kiryandongo : District",2901,6288,0,4444,9343,711,0,23687,3146,6591,0,5026,"7566",299,0,"22628"
2015,"Kyaka II",2053,3037,0,2101,5957,435,0,13583,2024,3068,0,2040,"5969",428,0,"13529"
2015,"Kyangwali : Point",3464,5205,0,2950,8722,702,0,21043,3407,5354,0,3054,"8292",637,0,"20744"
2015,"Nakivale : Point",6429,10747,0,7514,22733,1158,0,48581,6436,10995,0,7502,"24141",1084,0,"50158"
2015,"Oruchinga : Point",526,799,0,435,1278,83,0,3121,541,790,0,408,"1108",83,0,"2930"
2015,"Rwamanja : Point",7461,8121,0,3611,14065,708,0,33966,7283,7997,0,3843,"15535",630,0,"35288"
2015,"Adjumani : District",9962,16463,0,10387,24919,2610,0,64341,10359,17397,0,11494,"15493",1097,0,"55840"
2015,"Arua",2170,4310,0,2947,5405,431,0,15263,2326,4584,0,3476,"3679",155,0,"14220"
2015,"Uganda : Dispersed in the country / territory",18000,18000,0,18000,18000,18000,0,90000,18000,18000,0,18000,"18000",18000,0,"90000"
2016,"Adjumani : District",18025,28025,0,17754,37172,3941,0,104917,18661,29108,0,19221,"21103",1432,0,"89525"
2016,"Arua",7282,10760,0,7956,15795,1067,0,42860,7357,10775,0,8579,"13106",424,0,"40241"
2016,"Kampala : City",3495,7047,0,6462,24282,714,0,42000,3604,7092,0,6237,"28432",614,0,"45979"
2016,"Kiryandongo : District",4271,7139,0,4885,9274,763,0,26332,4391,7614,0,5492,"6062",264,0,"23823"
2016,"Kyaka II",2350,3662,0,2264,6420,480,0,15176,2364,3709,0,2287,"6190",447,0,"14997"
2016,"Kyangwali : Point",3222,6008,0,3241,9447,780,0,22698,3173,6121,0,3292,"9057",716,0,"22359"
2016,"Moyo",1001,1376,0,1056,1952,181,0,5566,1027,1484,0,969,"1030",69,0,"4579"
2016,"Nakivale : Point",8425,13285,0,9018,27124,1387,0,59239,8620,13612,0,9244,"30009",1263,0,"62748"
