"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","F..Unknown","F..Total","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60.","M..Unknown","M..Total"
"2011","Kyangwali : Point","2546","2961","","1705","5224","311","0","12747","2572","2984","","1724","5121","244","0","12645"
"2011","Kitgum : District","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0"
"2011","Kiryandongo : Point","255","501","","353","1065","103","0","2277","266","504","","384","941","76","0","2171"
"2011","Kayaka II : Point","1494","1846","","1213","3405","282","0","8240","1458","1806","","1283","3124","311","0","7982"
"2011","Katakwi : District","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0"
"2011","Kampala : District","1945","4412","","5851","6544","205","0","18957","2029","4541","","7472","9320","181","0","23543"
"2011","Imvepi : Point","112","196","","183","388","28","0","907","142","213","","238","427","6","0","1026"
"2011","Gulu : District","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0"
"2011","Amuru : Point","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0"
"2011","Amuria : District","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0"
"2011","Adjumani : District","492","873","","606","1578","111","0","3660","509","888","","626","1097","46","0","3166"
"2012","Rwamanja","4122","3543","","3379","3579","117","","14740","4081","3609","","3406","3859","102","","15057"
"2012","Rhino Camp : Point","340","579","","422","812","79","","2232","341","592","","553","515","33","","2034"
"2012","Oruchinga : Point","536","730","","379","1248","67","","2960","582","680","","406","1089","72","","2829"
"2012","Nakivale : Point","5530","7713","","4901","13228","603","","31975","5554","7750","","5034","13423","637","","32398"
"2012","Kyangwali : Point","2302","3935","","4217","304","2","","10760","2393","3976","","3883","267","1","","10520"
"2012","Kiryandongo : District","238","414","","317","838","80","","1887","239","430","","345","687","64","","1765"
"2012","Kayaka II : Point","1964","2166","","1402","3385","276","","9193","1954","2150","","1453","3041","264","","8862"
"2012","Kampala : City","3205","9220","","13634","5213","169","","31441","3310","9483","","17456","7642","144","","38035"
"2012","Adjumani : District","712","1210","","873","2025","145","","4965","723","1299","","880","1351","61","","4314"
"2013","Uganda : Dispersed in the country / territory","","","","","","","","0","","","","","","","","0"
"2013","Rwamanja : Point","7223","6594","","7894","3353","98","","25162","7153","6915","","8125","3595","91","","25879"
"2013","Rhino Camp : Point","888","1337","","784","1838","169","","5016","879","1413","","990","1183","75","","4540"
